timestamp,gesture,confidence,emotion,speech_text
2026-03-26 03:24:51,Good Night,0.9,Sad,Good Night
2026-03-26 03:24:56,Good Morning,0.68,Sad,Good Morning! Have a productive day.
2026-03-26 16:48:53,Hello,0.71,Sad,Hello... are you feeling okay?
2026-03-26 16:49:01,I Love You,0.68,Happy,I love you ❤️
2026-03-26 16:49:12,Hello,0.86,Happy,Hello 😊 Nice to see you!
2026-03-26 16:51:20,I Love You,0.89,Neutral,I love you.
2026-03-26 16:51:22,I Love You,0.66,Neutral,I love you.
2026-03-26 16:51:24,I Love You,0.69,Sad,I love you... stay strong.
2026-03-26 16:51:36,Good Night,0.66,Sad,Good Night
2026-03-26 16:51:43,Yes,0.79,Sad,Yes
2026-03-26 16:51:48,Yes,0.87,Sad,Yes
2026-03-26 16:51:54,No,0.72,Sad,No
2026-03-26 16:52:06,Please,0.68,Sad,Please
2026-03-26 17:33:16,Hello,0.78,Sad,Hello... are you feeling okay?
2026-03-26 17:33:21,Hello,0.94,Sad,Hello... are you feeling okay?
2026-03-26 17:33:25,Hello,0.92,Sad,Hello... are you feeling okay?
2026-03-26 17:33:44,Good Morning,0.72,Sad,Good morning... take care.
2026-03-26 17:33:48,Good Morning,0.88,Sad,Good morning... take care.
2026-03-26 17:37:52,Hello,0.9,Sad,Hello... are you feeling okay?
2026-03-26 17:38:00,Please,0.76,Sad,Please
2026-03-26 17:38:02,Yes,0.76,Sad,Yes
2026-03-26 17:38:09,Hello,0.68,Happy,Hello 😊 Nice to see you!
2026-03-26 17:38:14,Yes,0.7,Happy,Yes
2026-03-26 17:38:19,I Love You,0.88,Sad,I love you... stay strong.
2026-03-26 17:38:23,I Love You,0.85,Sad,I love you... stay strong.
2026-03-26 17:38:29,I Love You,0.91,Happy,I love you ❤️
2026-03-26 17:38:32,I Love You,0.86,Happy,I love you ❤️
2026-03-26 17:38:36,Good Morning,0.75,Sad,Good morning... take care.
2026-03-26 17:38:45,Good Morning,0.92,Happy,Good morning 😊 have a great day!
2026-03-26 17:38:51,Good Night,0.6,Sad,Good Night
2026-03-26 17:38:53,Good Night,0.74,Sad,Good Night
2026-03-26 17:38:55,Good Night,0.8,Sad,Good Night
2026-03-26 17:38:57,Good Night,0.87,Happy,Good Night
2026-03-26 17:39:00,Good Night,0.83,Sad,Good Night
2026-03-26 17:39:03,Good Night,0.89,Happy,Good Night
2026-03-26 17:39:04,Good Night,0.83,Happy,Good Night
2026-03-26 18:51:25,Hello,0.88,Sad,Hello... are you feeling okay?
2026-03-26 18:51:29,Help,0.88,Happy,I'm here to help 😊
2026-03-26 18:51:32,Help,0.95,Happy,I'm here to help 😊
2026-03-26 18:51:35,Hello,0.92,Happy,Hello 😊 Nice to see you!
2026-03-26 18:51:40,Hello,0.69,Sad,Hello... are you feeling okay?
2026-03-26 18:51:44,Help,0.98,Sad,Let me help you...
2026-03-26 18:51:47,Help,0.96,Sad,Let me help you...
2026-03-26 18:51:49,Help,0.95,Sad,Let me help you...
2026-03-26 18:51:52,Help,0.97,Sad,Let me help you...
2026-03-26 18:51:57,Help,0.97,Happy,I'm here to help 😊
2026-03-26 18:51:59,Help,0.97,Happy,I'm here to help 😊
2026-03-26 18:52:05,I Love You,0.67,Sad,I love you... stay strong.
2026-03-26 18:52:13,Good Morning,0.83,Sad,Good morning... take care.
2026-03-26 18:52:18,Good Morning,0.94,Happy,Good morning 😊 have a great day!
2026-03-26 18:52:21,Good Morning,0.94,Happy,Good morning 😊 have a great day!
2026-03-26 18:52:26,Help,0.69,Sad,Let me help you...
2026-03-26 18:52:29,Help,0.72,Sad,Let me help you...
2026-03-26 18:52:34,Help,0.87,Happy,I'm here to help 😊
2026-03-26 18:52:39,Yes,0.87,Happy,Yes
2026-03-26 18:52:41,Yes,0.82,Happy,Yes
2026-03-26 18:52:43,Yes,0.92,Happy,Yes
2026-03-26 18:52:44,No,0.75,Sad,No
2026-03-26 18:52:46,No,0.9,Sad,No
2026-03-26 18:52:47,No,0.86,Sad,No
2026-03-26 18:52:55,Please,0.73,Sad,Please
2026-03-26 18:52:57,Please,0.88,Sad,Please
2026-03-26 18:52:59,Please,0.86,Sad,Please
2026-03-26 18:53:00,Please,0.71,Happy,Please
2026-03-26 18:53:02,Please,0.67,Happy,Please
2026-03-26 18:53:04,Please,0.67,Happy,Please
2026-03-26 18:53:06,Please,0.83,Happy,Please
2026-03-26 18:53:09,Sorry,0.86,Sad,I'm really sorry...
2026-03-26 18:53:11,Sorry,0.87,Sad,I'm really sorry...
2026-03-26 18:53:14,Sorry,0.93,Happy,Sorry 😊 it's okay!
2026-03-26 19:55:50,Help,0.89,Happy,I'm here to help 😊
2026-03-26 19:55:53,Hello,0.68,Happy,Hello 😊 Nice to see you!
2026-03-26 19:55:56,Hello,0.78,Happy,Hello 😊 Nice to see you!
2026-03-26 19:56:03,Good Night,0.72,Sad,Good Night
